2001 04 01 00 09  11.69 231.05  -1.30  51.90 612.36
2001 04 01 00 19  15.11 242.04  -2.40  69.58 612.31
2001 04 01 00 29  14.88 250.48  -2.84  76.63 612.26
2001 04 01 00 39  10.96 239.06  -2.84  79.05 612.15
2001 04 01 00 49  10.34 230.25  -2.47  73.54 612.12
2001 04 01 00 59   9.32 233.61  -2.52  81.22 612.15
2001 04 01 01 09   8.77 261.29  -2.47  82.25 612.26
2001 04 01 01 19   9.98 254.96  -2.52  82.59 612.27
2001 04 01 01 29   9.92 247.48  -2.59  84.15 612.19
2001 04 01 01 39  13.45 250.84  -2.40  87.32 612.13
2001 04 01 01 49  16.91 255.19  -2.76  89.45 612.07
2001 04 01 01 59  17.99 261.02  -2.84  91.30 611.98
2001 04 01 02 09  17.53 257.93  -2.80  96.17 611.92
2001 04 01 02 19  18.01 255.22  -2.88  95.85 611.89
2001 04 01 02 29  18.09 252.42  -2.96  98.10 611.70
2001 04 01 02 39  17.75 252.24  -3.01  97.55 611.57
2001 04 01 02 49  20.39 258.47  -3.13  95.67 611.55
2001 04 01 02 59  20.29 241.59  -3.01  80.34 611.46
2001 04 01 03 09  20.14 250.03  -2.40  71.25 611.55
2001 04 01 03 19  17.45 249.68  -2.03  64.87 611.69
2001 04 01 03 29  15.79 254.69  -2.27  81.79 611.76
2001 04 01 03 39  17.11 258.36  -2.76  88.69 611.86
2001 04 01 03 49  19.25 255.83  -3.08  94.89 611.80
2001 04 01 03 59  21.27 259.88  -3.01  81.69 611.79
2001 04 01 04 09  22.87 260.94  -2.84  65.97 611.81
2001 04 01 04 19  18.43 263.40  -2.40  50.29 612.04
2001 04 01 04 29  19.55 254.62  -2.27  49.73 612.05
2001 04 01 04 39  18.04 270.07  -2.27  42.51 612.16
2001 04 01 04 49  18.33 259.00  -2.52  58.82 612.22
2001 04 01 04 59  17.70 255.66  -2.47  44.22 612.17
2001 04 01 05 09  17.01 257.59  -2.47  37.97 612.19
2001 04 01 05 19  17.55 259.45  -2.35  40.77 612.38
2001 04 01 05 29  16.60 260.94  -2.52  45.81 612.56
2001 04 01 05 39  14.37 271.10  -2.84  60.73 612.72
2001 04 01 05 49  14.77 261.99  -3.08  64.80 612.81
2001 04 01 05 59  16.23 263.84  -3.21  62.23 612.92
2001 04 01 06 09  13.10 265.94  -3.13  71.16 613.09
2001 04 01 06 19  12.96 260.93  -3.21  74.38 613.17
2001 04 01 06 29  11.42 254.51  -3.33  74.81 613.12
2001 04 01 06 39  12.13 261.82  -3.33  75.88 613.34
2001 04 01 06 49  12.96 271.38  -3.45  77.46 613.57
2001 04 01 06 59  13.18 267.52  -3.38  79.81 613.68
2001 04 01 07 09  10.96 254.24  -3.21  80.30 613.55
2001 04 01 07 19  11.84 252.15  -2.59  55.86 613.58
2001 04 01 07 29  12.98 241.95  -1.98  56.13 613.74
2001 04 01 07 39  11.98 260.41  -1.78  57.72 613.87
2001 04 01 07 49   8.47 246.05  -1.86  63.46 614.07
2001 04 01 07 59  10.58 240.74  -1.55  55.91 614.13
2001 04 01 08 09  11.62 253.64  -1.13  48.96 614.24
2001 04 01 08 19   7.99 248.54  -0.64  47.74 614.36
2001 04 01 08 29   7.22 226.45  -0.16  48.10 614.50
2001 04 01 08 39   5.20 182.82   0.21  48.03 614.57
2001 04 01 08 49   9.64 191.08   0.77  47.22 614.64
2001 04 01 08 59  15.14 149.50   2.36  41.38 614.78
2001 04 01 09 09   8.61 186.34   2.73  43.78 614.84
2001 04 01 09 19   9.72 170.82   2.73  42.58 614.83
2001 04 01 09 29   9.54 149.55   3.02  51.37 614.88
2001 04 01 09 39   9.80 187.13   3.02  45.17 614.99
2001 04 01 09 49   3.09 222.36   2.53  55.03 614.96
2001 04 01 09 59   6.47  73.49   1.92  51.47 614.95
2001 04 01 10 09   6.76 208.48   1.80  59.84 615.05
2001 04 01 10 19  11.01 146.73   2.12  57.94 614.98
2001 04 01 10 29  12.43 150.59   2.85  54.91 615.01
2001 04 01 10 39   5.88 254.60   2.97  60.87 615.07
2001 04 01 10 49   6.27 204.27   3.09  59.70 615.08
2001 04 01 10 59   4.76 252.76   2.48  53.05 615.03
2001 04 01 11 09   7.39 214.60   2.00  61.78 614.94
2001 04 01 11 19   4.90 202.33   1.39  61.24 614.95
2001 04 01 11 29   6.47 199.45   1.31  62.80 614.86
2001 04 01 11 39  10.71 223.83   1.31  60.29 614.71
2001 04 01 11 49   8.77 201.39   1.75  57.56 614.63
2001 04 01 11 59   7.08 183.18   1.38  57.99 614.62
2001 04 01 12 09  10.57 168.50   1.07  63.75 614.44
2001 04 01 12 19  10.96 221.83   0.58  70.24 614.41
2001 04 01 12 29   4.61 171.97   0.70  73.27 614.36
2001 04 01 12 39   5.88 166.15   0.95  67.70 614.24
2001 04 01 12 49   6.07 159.69   0.53  75.44 614.14
2001 04 01 12 59   9.12 240.41   1.07  74.22 614.11
2001 04 01 13 09   5.97 172.14   1.92  70.41 614.13
2001 04 01 13 19   6.17 197.68   2.24  68.83 614.09
2001 04 01 13 29   4.89 182.12   2.36  64.75 614.01
2001 04 01 13 39   7.93 244.43   2.61  65.63 613.94
